Date,price_btc,price_spx,price_tech,ret_btc,ret_spx,ret_tech
,BTC-USD,^GSPC,QQQ,,,
2016-04-13,423.734009,2082.419922,103.596291,-0.003424,0.010040,0.012784
2016-04-14,424.282013,2082.780029,103.605629,0.001293,0.000173,0.000090
2016-04-15,429.713013,2080.729980,103.344086,0.012800,-0.000984,-0.002524
2016-04-18,428.591003,2094.340088,103.895172,-0.002611,0.006541,0.005333
2016-04-19,435.509003,2100.800049,103.260040,0.016141,0.003084,-0.006113
2016-04-20,441.389008,2102.399902,103.344086,0.013501,0.000762,0.000814
2016-04-21,449.424988,2091.479980,103.353432,0.018206,-0.005194,0.000090
2016-04-22,445.737000,2091.580078,101.793579,-0.008206,0.000048,-0.015092
2016-04-25,461.425995,2087.790039,101.793579,0.035198,-0.001812,0.000000
2016-04-26,466.088989,2091.699951,101.298508,0.010106,0.001873,-0.004863
2016-04-27,444.687012,2095.149902,100.485847,-0.045918,0.001649,-0.008022
2016-04-28,449.010986,2075.810059,99.271629,0.009724,-0.009231,-0.012083
2016-04-29,455.096985,2065.300049,98.748535,0.013554,-0.005063,-0.005269
2016-05-02,444.669006,2081.429932,99.682602,-0.022914,0.007810,0.009459
2016-05-03,450.303986,2063.370117,98.757881,0.012672,-0.008677,-0.009277
2016-05-04,446.721985,2051.120117,98.122734,-0.007955,-0.005937,-0.006431
2016-05-05,447.976013,2050.629883,98.094704,0.002807,-0.000239,-0.000286
2016-05-06,459.602997,2057.139893,98.617767,0.025954,0.003175,0.005332
2016-05-09,460.483002,2058.689941,98.897987,0.001915,0.000753,0.002841
2016-05-10,450.894989,2084.389893,100.252380,-0.020822,0.012484,0.013695
2016-05-11,452.727997,2064.459961,99.346321,0.004065,-0.009562,-0.009038
2016-05-12,454.765991,2064.110107,98.907349,0.004502,-0.000169,-0.004419
2016-05-13,455.670013,2046.609985,98.543045,0.001988,-0.008478,-0.003683
2016-05-16,454.162994,2066.659912,99.776009,-0.003307,0.009797,0.012512
2016-05-17,453.782990,2047.209961,98.524361,-0.000837,-0.009411,-0.012545
2016-05-18,454.618988,2047.630005,98.879280,0.001842,0.000205,0.003602
2016-05-19,438.714996,2040.040039,98.365555,-0.034983,-0.003707,-0.005195
2016-05-20,442.675995,2052.320068,99.449051,0.009029,0.006020,0.011015
2016-05-23,444.154999,2048.040039,99.318306,0.003341,-0.002085,-0.001315
2016-05-24,445.980988,2076.060059,101.307846,0.004111,0.013681,0.020032
2016-05-25,449.598999,2090.540039,102.036423,0.008112,0.006975,0.007192
2016-05-26,453.384003,2090.100098,102.335320,0.008419,-0.000210,0.002929
2016-05-27,473.463989,2099.060059,102.867729,0.044289,0.004287,0.005203
