Date,price_btc,price_spx,price_tech,price_gold,ret_btc,ret_spx,ret_tech,ret_gold
,BTC-USD,^GSPC,QQQ,GC=F,,,,
2016-03-21,413.307007,2051.600098,100.682014,1243.800049,0.009178,0.000986,0.003912,-0.007976
2016-03-22,418.088989,2049.800049,100.990265,1248.199951,0.011570,-0.000877,0.003062,0.003537
2016-03-23,418.040985,2036.709961,100.158951,1223.699951,-0.000115,-0.006386,-0.008232,-0.019628
2016-03-24,416.394012,2035.939941,100.186996,1221.400024,-0.003940,-0.000378,0.000280,-0.001879
2016-03-28,424.230988,2037.050049,100.046898,1219.900024,0.018821,0.000545,-0.001398,-0.001228
2016-03-29,416.515991,2055.010010,101.653427,1235.599976,-0.018186,0.008817,0.016058,0.012870
2016-03-30,414.816010,2063.949951,102.148506,1226.900024,-0.004081,0.004350,0.004870,-0.007041
2016-03-31,416.729004,2059.739990,101.999062,1234.199951,0.004612,-0.002040,-0.001463,0.005950
2016-04-01,417.959991,2072.780029,103.082542,1222.199951,0.002954,0.006331,0.010622,-0.009723
2016-04-04,421.444000,2066.129883,102.690224,1218.000000,0.008336,-0.003208,-0.003806,-0.003436
2016-04-05,424.029999,2045.170044,101.700142,1228.400024,0.006136,-0.010144,-0.009641,0.008539
2016-04-06,423.412994,2066.659912,103.372116,1222.500000,-0.001455,0.010508,0.016440,-0.004803
2016-04-07,422.744995,2041.910034,101.886940,1236.199951,-0.001578,-0.011976,-0.014367,0.011207
2016-04-08,420.348999,2047.599976,101.812225,1242.500000,-0.005668,0.002787,-0.000733,0.005096
2016-04-11,422.483002,2041.989990,101.438622,1256.699951,0.005077,-0.002740,-0.003670,0.011429
2016-04-12,425.190002,2061.719971,102.288589,1259.400024,0.006407,0.009662,0.008379,0.002149
2016-04-13,423.734009,2082.419922,103.596275,1246.800049,-0.003424,0.010040,0.012784,-0.010005
2016-04-14,424.282013,2082.780029,103.605621,1225.000000,0.001293,0.000173,0.000090,-0.017485
2016-04-15,429.713013,2080.729980,103.344093,1233.099976,0.012800,-0.000984,-0.002524,0.006612
2016-04-18,428.591003,2094.340088,103.895180,1233.599976,-0.002611,0.006541,0.005333,0.000405
2016-04-19,435.509003,2100.800049,103.260033,1253.000000,0.016141,0.003084,-0.006113,0.015726
